NEW_CATEGORY,SEARCH_STRINGS
Books & Media,BOOK|DVD|BLU-RAY|MAGAZINE|HARDCOVER
Pet Supplies,PET|ANIMAL|COLLAR
Gift Cards,GIFT_CARD
Health & Supplements,NUTRITIONAL_SUPPLEMENT|HEALTH_PERSONAL_CARE|MEDICATION|VITAMIN|HERBAL_SUPPLEMENT|PILL
Clothing & Apparel,SHIRT|PANTS|SHOES|SOCKS|DRESS|BRA|APPAREL|SWEATER|JACKET|HAT|UNDERWEAR|HANDBAG|COAT|SKIRT|TIGHTS|TUNIC|COSTUME|WEAR|KURTA|SAREE|CHOLI|BLOUSE|FOOTWEAR|UMBRELLA|BAG|WATCHES
Electronics & Cables,ELECTRIC|HEADPHONES|BATTERY|CHARGING_ADAPTER|SCREEN_PROTECTOR|CELLULAR_PHONE_CASE|PORTABLE_ELECTRONIC_DEVICE|COMPUTER|AUDIO|MEMORY|MOUSE|PRINTER|CELLULAR|DISPLAY_MOUNT|WIRELESS|ELECTRONICS|POWER|WIRE
Skincare & Beauty,SKIN_MOISTURIZER|SKIN_CLEANING_AGENT|BEAUTY|FRAGRANCE|MAKEUP|HAIR|COSMETIC|LIP_BALM|EYEBROW|EYELID
Groceries & Food,FOOD|GROCERY|VEGETABLE|FRUIT|MEAT|WATER|COFFEE|DRINK|TEA|SNACK|CANDY|CEREAL|POPCORN|CRACKER|COOKIE|BAKING|SAUCE|POULTRY|JERKY|DAIRY|HERB|SUGAR|SALT|BREAD
Toys & Games,TOYS_AND_GAMES|TOY|GAME|PUZZLE
Household Cleaning,CLEANING|DETERGENT|TRASH|MOP|PEST|INSECT|DEODORIZER|TISSUE
Office & School,WRITING_INSTRUMENT|NOTEBOOK|OFFICE_PRODUCT|PEN|PENCIL|PAPER|TEACHING_AND_SCHOOL|CALENDAR|PLANNER|ENVELOPE|FILE
Kitchen & Dining,DRINKING_CUP|KITCHEN|PLATE|BOWL|UTENSIL|COOKWARE|MUG|CUTTING|FORK
Home & Furniture,HOME|CHAIR|TABLE|FURNITURE|BED|PILLOW|BLANKET|RUG|LAMP|TOWEL|CANDLE|INCENSE|BOX_SPRING
Automotive,AUTO|CAR|VEHICLE|AUTOMOTIVE|SPARK
Tools & Hardware,TOOL|HARDWARE|DRILL|SCREW|NAIL|SAW|WRENCH|MEASURE|LOCK|FLASHLIGHT|PLUMBING|ROD|WHEELS|SPRINGS|ADHESIVES
Outdoor & Garden,OUTDOOR|GARDEN|LAWN|PATIO|PLANT|GRILL
Sports & Fitness,SPORT|FITNESS|EXERCISE|YOGA|BICYCLE|GYM
Baby & Toddler,BABY|DIAPER|STROLLER|TODDLER
Personal Care & Hygiene,TOOTHBRUSH|TOOTHPASTE|DEODORANT|SHAVING|RAZOR|BATH|SHAMPOO|CONDITIONER|MOUTHWASH|WIPE|SANITARY|LUBRICANT|SKIN
Crafts & Hobbies,CRAFT|ART|SEWING|KNITTING|PAINT
